SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
230118019038,250,,,
230118019043,57,5,,
230118019044,264,5,,
230118019050,,,,
230118019052,,,,
230118019057,57,5,,
230118310002,48,5,838,
230118310003,75,4,,
230118310013,73,,40,
230118310014,76,4,,
230118310017,274,,125,
230118310018,70,,1300,
230118310025,225,,400,
230118310027,,,,
230118310029,72,5,,
230118310031,63,4,,
230118310037,277,6,,
230118310039,53,4,,
230118310048,104,2,423,
230118310049,300,,400,
230118310050,75,,1000,
230118407001,,,,
230118407002,100,,30,
230118407008,87,4,277,
230118407010,,,,
230118407016,100,,694,
230118407017,,,,
230118407025,90,,364,
230118407028,113,,1250,
230118407031,48,5,1374,
230118407035,72,5,,
230118407037,74,4,300,
230118407038,50,,440,
230118407043,69,5,289,
230118777001,76,4,484,
230118777002,,,,
230118777012,70,2,488,
230118777013,76,4,922,
230118777015,75,4,235,
230118777017,65,3,723,
230118777022,65,3,538,
230118777023,77,3,,
230118777029,65,3,595,
230118777030,150,,500,
230118777038,150,,200,
230118777040,530,,250,
230118777044,326,6,,
230118777045,223,,0,
230118777051,70,2,320,
230118777055,75,,275,
230118777057,82,,30,
230118801002,89,6,,
230118801003,87,4,1820,
230118801011,87,4,904,
230118801014,103,4,,
230118801015,,,,
230118801017,,,,
230118801022,76,4,608,
230118801028,163,,550,
230118801031,63,4,,
230118801032,90,4,,
230118801036,264,5,,
230118801037,123,7,,
230118801043,326,6,,
230118801044,175,,4000,
230118801052,70,2,329,
230118801054,70,2,644,
230118840004,54,4,422,
230118840007,87,4,1425,
230118840008,175,,10,
230118840009,270,,1540,
230118840015,76,4,983,
230118840019,65,3,382,
230118840026,65,,880,
230118840028,73,5,422,
230118840029,73,5,167,
230118840030,69,5,1020,
230118840036,,,,
230118840037,82,5,,
230118840043,320,,283,
230118840046,120,5,399,
230118840051,87,4,25,
230118840053,105,,800,
230118929002,76,6,,
230118929004,200,,260,
230118929009,,,,
230118929010,76,4,830,
230118929019,,,,
230118929020,,,,
230118929026,250,,500,
230118929028,264,5,,
230118929029,82,2,500,
230118929030,,,,
230118929036,,,,
230118929037,212,4,,
230118929043,,,,
230118929044,69,5,1142,
230118963001,89,4,150,
230118963002,,,,
230118963011,76,4,294,
230118963014,70,2,1179,
230118963020,87,4,130,
230118963021,88,4,,
230118963023,150,,130,
230118963024,,,,
230118963029,81,5,295,
230118963030,,,,
230118963039,77,3,,
230118963040,88,4,,
230118963044,82,5,,
230118963048,50,,29,
230118963050,350,,14,
230118963052,264,5,,
230118963057,159,,325,
230118963058,96,,58,
230118963064,70,2,229,
230118963066,70,2,759,
230128777002,93,2,158,
230128777003,125,,250,
230128777009,60,1,592,
230128777010,73,5,1049,
230128777018,65,3,339,
230128777021,123,2,,
230128777025,87,4,955,
230128777026,87,4,1003,
230128777029,400,5,,
230128777030,,,,
230128777032,87,4,115,
230128777036,340,5,1375,
230128777038,63,,1200,
230128777044,75,4,576,
230128777045,300,,700,
230128777050,66,4,,
230128777053,256,6,,
230128777057,326,6,,
230128777059,80,4,,
230128777066,252,,738,
230128777068,125,,200,
230128801001,70,2,404,
230128801003,81,5,707,
230128801008,73,5,819,
230128801009,100,,600,
230128801015,,,,
230128801016,,,,
230128801024,87,4,634,
230128801026,75,4,664,
230128801033,125,,250,
230128801035,,,,
230128801040,87,4,,
230128801042,180,4,2465,
230128801044,326,6,,
230128801045,87,4,854,
230128801050,100,,420,
230128801051,,,,
230128801057,76,6,315,
230128801058,90,4,,
230128801068,,,,
230128801069,300,,1025,
230128801070,400,5,,
230128801071,450,,1500,
230128801072,248,,500,
230128840004,63,,347,
230128840007,499,7,,1
230128840009,,,,
230128840011,80,4,,
230128840015,87,4,268,
230128840016,89,4,,
230128840022,87,4,199,
230128840023,87,4,482,
230128840030,70,2,389,
230128840032,65,,225,
230128840036,87,4,,
230128840038,53,4,,
230128840043,116,5,818,
230128840044,80,4,,
230128840050,57,5,,
230128840052,95,5,,
230128840057,48,5,,
230128840058,82,5,,
