SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK,OPERA_PV
230029635002.0,448.0,,71.0,3.0,2.0
230029635003.0,600.0,,15.0,,2.0
230029635005.0,1000.0,,150.0,,1.0
230029635011.0,750.0,,58.0,,1.0
230029635012.0,186.0,,56.0,,1.0
230029635018.0,336.0,,76.0,2.0,2.0
230029635019.0,575.0,,60.0,2.0,1.0
230029926112.0,533.0,,71.0,3.0,2.0
230029926118.0,437.0,,68.0,1.0,2.0
230029926121.0,868.0,,75.0,,1.0
230029926124.0,231.0,,21.0,,1.0
230031209001.0,700.0,,40.0,,1.0
230031209006.0,295.0,,44.0,1.0,2.0
230031209007.0,864.0,,43.0,0.0,1.0
230031209008.0,,,,,1.0
230031209012.0,600.0,,45.0,,2.0
230031209013.0,586.0,,100.0,,2.0
230031209018.0,,,38.0,1.0,1.0
230031209021.0,375.0,,75.0,,2.0
230031209022.0,775.0,,44.0,1.0,2.0
230031209023.0,,,,,2.0
230031209024.0,130.0,,45.0,,2.0
230031209028.0,4167.0,,59.0,1.0,1.0
230031209033.0,,,73.0,0.0,1.0
230031209034.0,400.0,,40.0,,1.0
230031209037.0,,,89.0,2.0,2.0
230031209038.0,1303.0,,60.0,2.0,1.0
230039437020.0,500.0,,75.0,,1.0
230039437026.0,314.0,,62.0,0.0,1.0
230039437027.0,174.0,,100.0,,1.0
230039437028.0,,,91.0,0.0,2.0
230039437031.0,701.0,,77.0,0.0,2.0
230039437032.0,383.0,,65.0,0.0,1.0
230039437033.0,608.0,,45.0,,1.0
230039437038.0,,,52.0,1.0,2.0
230039437042.0,163.0,,68.0,3.0,1.0
230039437043.0,,,80.0,3.0,1.0
230039437045.0,,,70.0,1.0,1.0
230039437049.0,304.0,,75.0,,1.0
230039437050.0,,,,,2.0
230039437051.0,587.0,,32.0,,1.0
230039437052.0,,,55.0,3.0,2.0
230039437053.0,425.0,,63.0,,2.0
230039437057.0,,,91.0,1.0,2.0
230039437060.0,358.0,,60.0,2.0,1.0
230039437061.0,,,,,2.0
230039437064.0,,,89.0,2.0,2.0
230039437066.0,428.0,,60.0,2.0,1.0
230039635023.0,,,,,2.0
230039635025.0,,,50.0,0.0,1.0
230039635031.0,,,,,2.0
